Entity,Code,Day,Weekly deaths
United Kingdom,GBR,2020-12-18,3451
United Kingdom,GBR,2020-12-19,3522
United Kingdom,GBR,2020-12-20,3617
United Kingdom,GBR,2020-12-21,3677
United Kingdom,GBR,2020-12-22,3747
United Kingdom,GBR,2020-12-23,3842
United Kingdom,GBR,2020-12-24,3964
United Kingdom,GBR,2020-12-25,4109
United Kingdom,GBR,2020-12-26,4158
United Kingdom,GBR,2020-12-27,4227
United Kingdom,GBR,2020-12-28,4370
United Kingdom,GBR,2020-12-29,4537
United Kingdom,GBR,2020-12-30,4658
United Kingdom,GBR,2020-12-31,4742
United Kingdom,GBR,2021-01-01,4873
United Kingdom,GBR,2021-01-02,5079
United Kingdom,GBR,2021-01-03,5231
United Kingdom,GBR,2021-01-04,5372
United Kingdom,GBR,2021-01-05,5461
United Kingdom,GBR,2021-01-06,5635
United Kingdom,GBR,2021-01-07,5896
United Kingdom,GBR,2021-01-08,6149
United Kingdom,GBR,2021-01-09,6380
United Kingdom,GBR,2021-01-10,6625
United Kingdom,GBR,2021-01-11,6884
United Kingdom,GBR,2021-01-12,7250
United Kingdom,GBR,2021-01-13,7598
United Kingdom,GBR,2021-01-14,7943
United Kingdom,GBR,2021-01-15,8236
United Kingdom,GBR,2021-01-16,8524
United Kingdom,GBR,2021-01-17,8794
United Kingdom,GBR,2021-01-18,9118
United Kingdom,GBR,2021-01-19,9306
United Kingdom,GBR,2021-01-20,9460
United Kingdom,GBR,2021-01-21,9629
United Kingdom,GBR,2021-01-22,9705
United Kingdom,GBR,2021-01-23,9711
United Kingdom,GBR,2021-01-24,9723
United Kingdom,GBR,2021-01-25,9595
United Kingdom,GBR,2021-01-26,9474
United Kingdom,GBR,2021-01-27,9338
United Kingdom,GBR,2021-01-28,9023
United Kingdom,GBR,2021-01-29,8873
United Kingdom,GBR,2021-01-30,8750
United Kingdom,GBR,2021-01-31,8572
United Kingdom,GBR,2021-02-01,8310
United Kingdom,GBR,2021-02-02,8065
United Kingdom,GBR,2021-02-03,7806
United Kingdom,GBR,2021-02-04,7596
United Kingdom,GBR,2021-02-05,7340
United Kingdom,GBR,2021-02-06,6942
United Kingdom,GBR,2021-02-07,6655
United Kingdom,GBR,2021-02-08,6417
United Kingdom,GBR,2021-02-09,6175
United Kingdom,GBR,2021-02-10,5951
United Kingdom,GBR,2021-02-11,5710
United Kingdom,GBR,2021-02-12,5445
United Kingdom,GBR,2021-02-13,5294
United Kingdom,GBR,2021-02-14,5060
United Kingdom,GBR,2021-02-15,4859
United Kingdom,GBR,2021-02-16,4709
United Kingdom,GBR,2021-02-17,4544
